epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,424.565,0.8569,1.48038,0.73697,1.0009,0.78829,0.71513,0.77729,0.58613,0.82774,0.67016,0.75239,0.50931,0.88435,1.76475,0.87909,1.03823,0.0012278,0.0012278,0.0012278
41,435.386,0.83712,1.46332,0.71723,0.98407,0.78008,0.76834,0.79291,0.60628,0.77154,0.73887,0.77789,0.53888,0.86738,1.73912,0.84201,1.03062,0.001208,0.001208,0.001208
42,445.547,0.80955,1.43839,0.69967,0.98403,0.82347,0.74777,0.8026,0.61412,0.87376,0.67359,0.77677,0.53371,0.87338,1.83561,0.82504,1.03134,0.0011882,0.0011882,0.0011882
43,455.782,0.81393,1.44026,0.69971,0.97724,0.84737,0.74136,0.80156,0.60523,0.83028,0.72581,0.77358,0.54676,0.87794,1.80514,0.84055,1.02058,0.0011684,0.0011684,0.0011684
44,465.854,0.82702,1.45861,0.71016,0.99027,0.87809,0.73591,0.81743,0.61559,0.88493,0.73294,0.78939,0.54801,0.8799,1.80523,0.81185,1.02466,0.0011486,0.0011486,0.0011486
45,476.654,0.78449,1.36149,0.67358,0.9677,0.86643,0.75068,0.82502,0.62092,0.90441,0.71217,0.80992,0.56456,0.84699,1.82078,0.79317,1.02291,0.0011288,0.0011288,0.0011288
46,486.896,0.83249,1.51128,0.71082,0.99248,0.86604,0.70623,0.81393,0.6283,0.88238,0.70623,0.79831,0.56677,0.82973,1.81165,0.78791,1.01317,0.001109,0.001109,0.001109
47,496.902,0.80027,1.41694,0.67398,0.9692,0.88475,0.72404,0.81775,0.63013,0.87273,0.72404,0.81169,0.56308,0.80861,1.72307,0.77724,0.99965,0.0010892,0.0010892,0.0010892
48,506.849,0.78618,1.37113,0.67718,0.96891,0.84541,0.7092,0.80752,0.61502,0.87076,0.69973,0.79696,0.54634,0.83683,1.76773,0.82379,0.99924,0.0010694,0.0010694,0.0010694
49,516.952,0.80687,1.39577,0.68778,0.97285,0.85842,0.73763,0.81797,0.63053,0.89912,0.70623,0.80165,0.57017,0.8301,1.73431,0.76448,0.99014,0.0010496,0.0010496,0.0010496
50,527.035,0.79708,1.41862,0.6772,0.97352,0.87375,0.7003,0.81948,0.62223,0.882,0.69733,0.79506,0.57645,0.83148,1.72396,0.76157,0.99902,0.0010298,0.0010298,0.0010298
51,537.045,0.7783,1.33842,0.65754,0.97039,0.86111,0.7359,0.82011,0.63028,0.8947,0.69139,0.79561,0.56734,0.82488,1.74253,0.74299,0.99242,0.00101,0.00101,0.00101
52,546.984,0.79299,1.3324,0.66448,0.96671,0.87679,0.7181,0.80738,0.60817,0.87358,0.69717,0.78469,0.55022,0.85682,1.79271,0.80974,0.9981,0.0009902,0.0009902,0.0009902
53,556.956,0.79866,1.37227,0.67111,0.98635,0.89167,0.70831,0.8185,0.63346,0.88536,0.7181,0.81537,0.56166,0.83552,1.72308,0.75892,0.99407,0.0009704,0.0009704,0.0009704
54,567.064,0.77042,1.35862,0.66684,0.96657,0.89327,0.72024,0.82212,0.62679,0.89172,0.72404,0.80776,0.56294,0.82377,1.65811,0.74113,0.98589,0.0009506,0.0009506,0.0009506
55,577.263,0.75902,1.3349,0.63637,0.96134,0.88888,0.73585,0.83173,0.63474,0.9074,0.7269,0.81265,0.56938,0.84329,1.67547,0.7202,1.00287,0.0009308,0.0009308,0.0009308
56,587.262,0.75494,1.28378,0.62607,0.97001,0.88602,0.75074,0.83071,0.63307,0.88543,0.75371,0.8207,0.56823,0.83587,1.73556,0.73133,0.99748,0.000911,0.000911,0.000911
57,597.555,0.75762,1.27999,0.61331,0.95809,0.82494,0.75509,0.82674,0.63714,0.87864,0.727,0.8194,0.57376,0.81362,1.70146,0.73872,0.99117,0.0008912,0.0008912,0.0008912
58,607.781,0.74537,1.33416,0.61811,0.95914,0.86359,0.75141,0.8318,0.6372,0.88452,0.75005,0.81664,0.57418,0.82644,1.72265,0.73021,1.00093,0.0008714,0.0008714,0.0008714
59,617.884,0.74673,1.28987,0.6087,0.95466,0.90569,0.76942,0.84257,0.64403,0.89006,0.75371,0.81165,0.58126,0.80257,1.674,0.69887,0.9922,0.0008516,0.0008516,0.0008516
60,628.001,0.75608,1.30898,0.61379,0.95802,0.91695,0.75358,0.83667,0.63737,0.93872,0.72107,0.81754,0.58174,0.8305,1.67661,0.70799,0.99141,0.0008318,0.0008318,0.0008318
61,638.355,0.74661,1.29479,0.61945,0.9582,0.90199,0.73735,0.83164,0.64504,0.90682,0.73294,0.8116,0.58382,0.79235,1.61196,0.71065,0.98338,0.000812,0.000812,0.000812
62,648.57,0.73637,1.27169,0.60014,0.94808,0.89012,0.74519,0.8254,0.64288,0.8938,0.74777,0.82315,0.5725,0.79227,1.63662,0.71214,0.99182,0.0007922,0.0007922,0.0007922
63,658.873,0.76384,1.33078,0.61123,0.96197,0.89633,0.74403,0.82668,0.648,0.88329,0.72997,0.80966,0.57249,0.79858,1.67334,0.70656,0.99055,0.0007724,0.0007724,0.0007724
64,669.011,0.71445,1.26581,0.58,0.93514,0.86922,0.74948,0.82139,0.64457,0.85217,0.73556,0.80682,0.57124,0.79416,1.64388,0.71073,0.98946,0.0007526,0.0007526,0.0007526
65,679.429,0.7276,1.25326,0.5996,0.94614,0.92155,0.72107,0.8346,0.64501,0.88857,0.7335,0.82121,0.57664,0.79625,1.64547,0.69361,0.97747,0.0007328,0.0007328,0.0007328
66,689.594,0.73079,1.21319,0.58592,0.93803,0.89077,0.76261,0.83922,0.65515,0.89077,0.76261,0.82768,0.57944,0.78908,1.59803,0.68811,0.96735,0.000713,0.000713,0.000713
67,699.696,0.70913,1.24781,0.58808,0.95277,0.93067,0.75677,0.84363,0.65038,0.90047,0.75371,0.82046,0.5809,0.78341,1.59994,0.7029,0.97467,0.0006932,0.0006932,0.0006932
68,710.142,0.73008,1.24434,0.5953,0.93737,0.90668,0.74957,0.83583,0.65323,0.89546,0.74184,0.81636,0.58025,0.78276,1.59261,0.71007,0.97762,0.0006734,0.0006734,0.0006734
69,720.353,0.72127,1.30034,0.59369,0.94381,0.89901,0.76601,0.84695,0.65338,0.88166,0.75168,0.82021,0.59084,0.7681,1.55055,0.6939,0.9745,0.0006536,0.0006536,0.0006536
70,731.198,0.73888,1.2848,0.5941,0.94201,0.88863,0.75964,0.84202,0.65287,0.90111,0.75074,0.82407,0.59398,0.79539,1.57359,0.67928,0.98564,0.0006338,0.0006338,0.0006338
71,741.53,0.66981,1.17759,0.56041,0.92689,0.85908,0.75668,0.82959,0.64986,0.87929,0.77448,0.83938,0.59401,0.77574,1.59367,0.68949,0.98692,0.000614,0.000614,0.000614
72,751.541,0.68495,1.17133,0.55118,0.92078,0.88504,0.7539,0.83265,0.65206,0.89701,0.76855,0.83565,0.59328,0.78203,1.61879,0.67793,0.98966,0.0005942,0.0005942,0.0005942
73,761.611,0.68696,1.20437,0.55399,0.93142,0.90093,0.74777,0.8359,0.6611,0.89357,0.74184,0.81863,0.59133,0.7616,1.62558,0.66172,0.97649,0.0005744,0.0005744,0.0005744
74,771.797,0.67733,1.16862,0.54587,0.92949,0.89222,0.75371,0.83893,0.65757,0.89342,0.75371,0.82569,0.59783,0.77885,1.57873,0.67592,0.99624,0.0005546,0.0005546,0.0005546
75,782.569,0.68517,1.17574,0.54098,0.92531,0.86501,0.76056,0.83976,0.65547,0.87422,0.73294,0.81998,0.59812,0.7822,1.60395,0.68121,0.97934,0.0005348,0.0005348,0.0005348
76,792.964,0.67616,1.15587,0.54863,0.93083,0.88215,0.74184,0.83548,0.6584,0.88802,0.727,0.81691,0.59764,0.77274,1.58661,0.68298,0.97509,0.000515,0.000515,0.000515
77,802.977,0.66621,1.13091,0.52486,0.92433,0.89163,0.73887,0.83406,0.66144,0.90595,0.75074,0.82566,0.61125,0.77672,1.60136,0.67494,0.97607,0.0004952,0.0004952,0.0004952
78,812.991,0.67534,1.15312,0.5507,0.93717,0.87624,0.74777,0.83845,0.65835,0.8553,0.74777,0.8195,0.59933,0.77992,1.5592,0.68064,0.97991,0.0004754,0.0004754,0.0004754
79,823.102,0.67578,1.16604,0.54109,0.93651,0.86614,0.76261,0.84003,0.65645,0.87155,0.75964,0.8254,0.60466,0.76326,1.52248,0.67947,0.96634,0.0004556,0.0004556,0.0004556
80,834.825,0.66261,1.14202,0.53293,0.92167,0.86068,0.76991,0.84214,0.66119,0.86572,0.75074,0.8229,0.60539,0.75515,1.51487,0.66066,0.95928,0.0004358,0.0004358,0.0004358
81,851.13,0.68055,1.1879,0.55044,0.92892,0.89546,0.76261,0.84701,0.67324,0.90171,0.72997,0.8239,0.6023,0.74485,1.49597,0.63481,0.95678,0.000416,0.000416,0.000416
82,861.734,0.63775,1.11684,0.51904,0.9109,0.87349,0.76855,0.84652,0.67784,0.91214,0.73938,0.83821,0.61208,0.73929,1.45247,0.63451,0.95682,0.0003962,0.0003962,0.0003962
